Type,Brand,Product,Kosher,Misc,Src
Beer,Gordon Biersch Brewing,Vienna Lager,KCOR,,1
Beer,Gordon Biersch Brewing,Winter Bock,KCOR,,1
Beer,Gordon Biersch Brewing,Winterfest,KCOR,,1
Beer,Green Flash Brewing,Double Stout Black Ale,,,1
Beer,Green Flash Brewing,Green Bullet,,,1
Beer,Green Flash Brewing,Hop Head Red Red India Pale Ale,,,1
Beer,Green Flash Brewing,Imperial India Pale Ale,,,1
Beer,Green Flash Brewing,Le Freak Ale,,,1
Beer,Green Flash Brewing,Palate Wrecker Hamilton's Ale,,,1
Beer,Green Flash Brewing,Rayon Vert Belgian-Style Pale Ale,,,1
Beer,Green Flash Brewing,Trippel Ale,,,1
Beer,Green Flash Brewing,West Coast IPA,,,1
Beer,Grolsch,Premium Lager,,,1
Beer,Gunther's,Beer,OK*,,1
Beer,Hacker-Pschorr,Munich Gold,,,1
Beer,Hacker-Pschorr,Original Oktoberfest Amber Mí_rzen,,,1
Beer,Hacker-Pschorr,Weisse,,,1
Beer,Hamm's,3.2% Beer,OU*,,1
Beer,Hamm's,Beer,OU*,,1
Beer,Hamm's,Genuine Draft Beer,OU*,,1
Beer,Hamm's,Non-Alcoholic Beer,OU*,,1
Beer,Hamm's,Special Light Beer,OU*,,1
Beer,Hardywood Park Craft Brewery,Assorted Varieties,0,,1
Beer,Harpoon Brewery,Assorted Varieties,0,,1
Beer,Heavy Seas Beer,Assorted Varieties,0,,1
Beer,Hebrew Beer,Bittersweet Lenny's R.I.P.A.,KSA*,,1
Beer,Hebrew Beer,Bock Bock,KSA*,,1
Beer,Hebrew Beer,Chanuka Beer,KSA*,,1
Beer,Hebrew Beer,David's Slingshot Hoppy American Lager,KSA*,,1
Beer,Hebrew Beer,Death of Contract Brewer Black IPA,KSA*,,1
Beer,Hebrew Beer,Funky Jewbilation,KSA*,,1
Beer,Hebrew Beer,Genesis Dry Hopped Session Ale,KSA*,,1
Beer,Hebrew Beer,HOP Manna IPA,KSA*,,1
Beer,Hebrew Beer,Jewbelation 19,KSA*,,1
Beer,Hebrew Beer,Jewbewlation,KSA*,,1
Beer,Hebrew Beer,Messiah Nut Brown Ale,KSA*,,1
Beer,Hebrew Beer,Origin Pomegranate Strong Ale,KSA*,,1
Beer,Hebrew Beer,R.I.P.A on Rye,KSA*,,1
Beer,Hebrew Beer,Rejewvenator,KSA*,,1
Beer,Hebrew Beer,Reunion 15,KSA*,,1
Beer,Hebrew Beer,Wishbone Session Double IPA,KSA*,,1
Beer,Heineken,Unflavored,,,1
Beer,HenHouse Brewing Company,Assorted Varieties,0,,1
Beer,Herman Joseph's,Private Reserve Beer,OU*,,1
Beer,Hoegaarden,Hoegaarden White,KF,,1
Beer,Holy City Brewing Company,Assorted Varieties,0,,1
Beer,Howe Sound Brewing,Blueberry Ale,Kosher Check*,,1
Beer,Howe Sound Brewing,Cloudburst India White Ale,Kosher Check*,,1
Beer,Howe Sound Brewing,Four Way Fruit Ale,Kosher Check*,,1
Beer,Howe Sound Brewing,King Heffy,Kosher Check*,,1
Beer,Howe Sound Brewing,Whitecap Wheat Ale,Kosher Check*,,1
Beer,Icehouse,Beer,OU*,,1
Beer,Icehouse,Light Beer,OU*,,1
Beer,Innis & Gunn,Original,,,1
Beer,Innis & Gunn,Rum Aged,,,1
Beer,Innis & Gunn,Toasted Oak IPA,,,1
Beer,Iron Springs Pub & Brewery,Assorted Varieties,0,,1
Beer,Israel Beer Breweries,Tuborg Beer,OK*,"0.5 L, 3330 ml.",1
Beer,Jailbreak Brewing,Batch 074 IPA,Star-K*,,1
Beer,Jailbreak Brewing,Berry'd,Star-K*,,1
Beer,Jailbreak Brewing,Big Punisher,Star-K*,,1
Beer,Jailbreak Brewing,Enlightened,Star-K*,,1
Beer,Jailbreak Brewing,Feed the Monkey,Star-K*,,1
Beer,Jailbreak Brewing,Forbidden,Star-K*,,1
